novost1,tekst1,ba,+387,2016/05/22 12:30:20,https://www.cesarsway.com/sites/newcesarsway/files/styles/large_article_preview/public/Common-dog-behaviors-explained.jpg
a naslov,tekst neki,ba,+387,2016/05/22 12:30:49,http://www.codeproject.com/KB/GDI-plus/ImageProcessing2/img.jpg
bbb naslov,teskttt ,ba,+387,2016/05/22 12:32:29,https://i.kinja-img.com/gawker-media/image/upload/xqkbwkexcl7udc5va7pn.jpg
zzz naslov,tesktttovsd sdfoisj,ba,+387,2016/05/22 12:32:58,https://s-media-cache-ak0.pinimg.com/736x/b0/54/f9/b054f9bf75fe74a38995cb0ccc240af5.jpg
ha dsajdf naslov,neki tesktt,ba,+387,2016/05/22 12:34:28,http://ichef.bbci.co.uk/news/660/cpsprodpb/127E1/production/_85854757_029393958-1.jpg
novost,asd,ba,+387,2016/05/22 13:21:40,http://media.zenfs.com/en-US/video/video.pd2upload.com/video.yahoofinance.com@fc01f40d-8f4e-3cbc-9d8f-a7b9e79d95fd_FULL.jpg
jos jedna,nesto,ba,+387,2016/05/22 13:22:36,http://animaliaz-life.com/data_images/dog/dog1.jpg
novosti,asda,ba,+387,2016/05/22 13:49:41,http://vignette3.wikia.nocookie.net/powerlisting/images/6/6d/Cute-Dog-Wallpaper-dogs-13936376-1024-768.jpg
a,asd,ba,+387,2016/05/22 14:16:40,http://animaliaz-life.com/data_images/dog/dog6.jpg
dva sata, ekst,ba,+387,2016/05/22 12:26:39, a
k,k,ba,+387,2016/05/22 16:39:01,k
blaaaa,teskt vijesti,ba,+3876,2016/05/22 20:27:03,http://g-ecx.images-amazon.com/images/G/01/img15/pet-products/small-tiles/23695_pets_vertical_store_dogs_small_tile_8._CB312176604_.jpg
